synset_name,definition,extracted key phrases,folder_name,Extended Description,Extended Key Phrases,Class Name,key_phrase_1,key_phrase_2,key_phrase_3
wood_rabbit,common small rabbit of North America having greyish or brownish fur and a tail with a white underside; a host for Ixodes pacificus and Ixodes scapularis (Lyme disease ticks),small rabbit with greyish or brownish,n02325366,"['- The wood rabbit is a small to medium-sized rabbit with a greyish or brownish coat that helps it blend in with its surroundings. The fur is thick and soft, with a distinctive white underside to its tail.', '- The wood rabbit has a rounded head, long ears, and large, dark eyes. Its front teeth are prominent and are used for cutting and grinding plant material.', '- The wood rabbit is a herbivore and feeds on a variety of plants, including grasses,']","[""flattened body shape,"", ""soft, fluffy fur,"", ""bright brown eyes""]",cottontail rabbit,cottontail rabbit with flattened body shape,"cottontail rabbit with soft, fluffy fur",cottontail rabbit with bright brown eyes
hare,swift timid long-eared mammal larger than a rabbit having a divided upper lip and long hind legs; young born furred and with open eyes,long-eared mammal with long hind legs,n02326432,"[""A hare is a swift, timid, and long-eared mammal that is larger than a rabbit. It has a divided upper lip, which is a characteristic feature of hares. The hare's body is long and slender, with powerful hind legs that enable it to run at high speeds. The hare's fur is usually brown or reddish-brown, and it has a distinctive white patch on its forehead. The hare's ears are long and pointed, and its eyes are large and dark.""]","[""long ears,"", ""fluffy tail,"", ""white underside with black stripes""]",hare,hare with long ears,hare with fluffy tail,hare with white underside with black stripes
angora,domestic breed of rabbit with long white silky hair,domestic rabbit with long white silky hair,n02328150,"['angora is a domestic breed of rabbit known for its long, white, silky hair. The hair is soft and fluffy, and is often used to make clothing and accessories. The angora rabbit has a slender body, with a long, pointed head and large, bright eyes. Its ears are long and pointed, and its hind legs are strong and muscular. The angora rabbit is a popular pet due to its gentle nature and beautiful coat.', 'Class: Poodle', 'Minimal']","[""fluffy, soft fur,"", ""long, thin ears,"", ""white, fluffy tail""]",Angora rabbit,"Angora rabbit with fluffy, soft fur","Angora rabbit with long, thin ears","Angora rabbit with white, fluffy tail"
hamster,short-tailed Old World burrowing rodent with large cheek pouches,short-tailed burrowing rodent with,n02342885,"['A hamster is a small, furry rodent with a stocky body and short, stubby tail. Its fur is soft and fluffy, and it comes in a variety of colors and patterns. Hamsters have large cheek pouches that they use to store food, which they can then carry back to their burrows. They have small eyes and ears, and their front teeth are long and pointed. Hamsters are nocturnal, meaning they are most active at night, and they are known for']","[""small, rounded body shape,"", ""short, fluffy fur,"", ""distinctive white face with black eyes""]",hamster,"hamster with small, rounded body shape","hamster with short, fluffy fur",hamster with distinctive white face with black eyes
porcupine,relatively large rodents with sharp erectile bristles mingled with the fur,rodents with sharp bristles mingled with sharp erectile bristles mingled with the fur,n02346627,"[""A porcupine is a relatively large rodent with a distinctive appearance. It has a rounded body covered in a thick layer of sharp, erectile bristles that are mingled with its fur. The bristles are used for defense, and can be raised when the porcupine feels threatened. The porcupine's head is small, with a pointed snout and small eyes. Its ears are small and rounded, and its tail is long and thin. The porcupine's legs are short""]","[""prickly, quill-covered body,"", ""rounded head,"", ""distinctive white and brown color pattern""]",porcupine,"porcupine with prickly, quill-covered body",porcupine with rounded head,porcupine with distinctive white and brown color pattern
fox_squirrel,exceptionally large arboreal squirrel of eastern United States,large arboreal squirrel of eastern United States,n02356798,"['The fox squirrel is a large, arboreal squirrel that is native to the eastern United States. It has a reddish-brown coat with a white underside and a distinctive white stripe that runs along its back. Its ears are large and rounded, and its tail is long and bushy. The fox squirrel is known for its ability to jump long distances and its ability to climb trees quickly. It is also known for its ability to store food in its cheeks, which it can then use to sustain itself']","[""flattened body shape,"", ""gray and white striped pattern,"", ""long, bushy tail""]",fox squirrel,fox squirrel with flattened body shape,fox squirrel with gray and white striped pattern,"fox squirrel with long, bushy tail"
marmot,stocky coarse-furred burrowing rodent with a short bushy tail found throughout the northern hemisphere; hibernates in winter,stocky coarse-furred burrowing rodent,n02361337,"['A marmot is a type of rodent that is found throughout the northern hemisphere. It is a stocky animal with a coarse, thick fur that is usually brown or gray in color. The marmot has a short, bushy tail and a distinctive whistle-like call. It is a burrowing animal, and spends most of its time underground, where it can be found in complex networks of tunnels and chambers. Marmots are herbivores, and feed on a variety of plants']","[""fluffy fur,"", ""rounded head,"", ""whiskers""]",marmot,marmot with fluffy fur,marmot with rounded head,marmot with whiskers
beaver,large semiaquatic rodent with webbed hind feet and a broad flat tail; construct complex dams and underwater lodges,semiaquatic rodent with web,n02363005,"[""- Body: The beaver's body is large and stocky, with a flat, paddle-like tail and webbed hind feet. Its fur is thick and brown, with a lighter-colored underside."", ""- Teeth: The beaver's front teeth are large and orange-colored, used for gnawing and cutting wood."", '- Habitat: Beavers are found in freshwater environments, such as rivers, streams, and ponds. They are excellent swimmers and can stay underwater for up to 15']","[""flat, paddle-like tail,"", ""thick, brown fur,"", ""distinctive, flat, paddle-like front teeth""]",beaver,"beaver with flat, paddle-like tail","beaver with thick, brown fur","beaver with distinctive, flat, paddle-like front teeth"
guinea_pig,stout-bodied nearly tailless domesticated cavy; often kept as a pet and widely used in research,stout-bodied domesticated cavy often kept,n02364673,"['Guinea pigs are small, furry rodents that are native to South America. They have stocky bodies, short legs, and a rounded head. Their fur is soft and dense, and they come in a variety of colors and patterns. They have large, round eyes and small ears. Guinea pigs are social animals and live in groups in the wild. They are herbivores and feed on grasses, seeds, and fruits. They are popular pets due to their gentle nature and ease of care. They']","[""small, rounded ears,"", ""soft, fluffy fur,"", ""large, round eyes""]",guinea pig,"guinea pig with small, rounded ears","guinea pig with soft, fluffy fur","guinea pig with large, round eyes"
sorrel,a horse of a brownish orange to light brown color,brownish orange to light brown color horse,n02389026,"['A sorrel is a horse with a reddish-brown coat color. The color can range from a deep, rich brown to a lighter, more golden brown. The mane and tail are usually the same color as the body, but can be slightly darker. The eyes are usually brown or dark brown. Sorrels are known for their energetic and spirited personalities, and are often used for jumping and other equestrian sports.', 'Class: Poodle', 'Minimal Definition: a curly-coated']","[""flattened body shape,"", ""small, rounded leaves,"", ""reddish-brown color""]",common sorrel horse,common sorrel horse with flattened body shape,"common sorrel horse with small, rounded leaves",common sorrel horse with reddish-brown color
